old_code,new_code
45.21.54,42.99
45.21.6,42.99
45.21.7,43.99.7
45.22,43.91
45.23,42.11
41.20,41.20
42.99,42.99
45.23.1,42.11
42.12,42.12
45.23.2,41.20
42.99,42.99
45.24,42.91
45.24.1,42.91.1
45.24.2,42.91.2
45.24.3,42.91.4
45.24.4,42.91.5
45.25,43.99
45.25.1,43.99.2
45.25.2,43.99.3
42.21,42.21
45.25.3,43.99.4
45.25.4,43.99.5
45.25.5,43.99.6
45.25.6,43.99.9
45.3,43.2
45.31,43.21
45.32,43.99.1
45.33,43.22
45.34,43.29
45.4,43.3
45.41,43.31
45.42,43.32
45.43,43.33
45.44,43.34
45.44.1,43.34.2
45.44.2,43.34.1
45.45,43.39
45.5,43.99
45.50,43.99
50,45
50.1,45.1
50.10,45.1
50.10.1,45.11.1
45.11.4,45.11.4
45.11.41,45.11.41
45.11.49,45.11.49
45.19.1,45.19.1
45.19.4,45.19.4
45.19.41,45.19.41
45.19.49,45.19.49
50.10.2,45.11.2
45.11.3,45.11.3
45.11.31,45.11.31
45.11.39,45.11.39
45.19.2,45.19.2
45.19.3,45.19.3
45.19.31,45.19.31
45.19.39,45.19.39
50.10.3,45.11.4
45.11.41,45.11.41
45.11.49,45.11.49
45.19.4,45.19.4
45.19.41,45.19.41
45.19.49,45.19.49
50.2,45.2
50.20,45.20
50.20.1,45.20.1
50.20.2,45.20.2
50.20.3,45.20.2
50.3,45.3
50.30,45.3
50.30.1,45.31.1
50.30.2,45.32
45.32.1,45.32.1
45.32.2,45.32.2
45.32.21,45.32.21
45.32.22,45.32.22
45.32.29,45.32.29
50.30.3,45.31.2
50.4,45.4
50.40,45.40
50.40.1,45.40.1
50.40.2,45.40.2
45.40.3,45.40.3
50.40.3,45.40.4
50.40.4,45.40.5
50.5,47.3
50.50,47.30
51,46
51.1,46.1
51.11,46.11
51.11.1,46.11.1
51.11.2,46.11.3
51.11.21,46.11.31
51.11.22,46.11.32
51.11.23,46.11.33
51.11.24,46.11.34
51.11.25,46.11.35
51.11.26,46.11.39
51.12,46.12
51.12.1,46.12.1
51.12.2,46.12.2
51.12.21,46.12.21
51.12.22,46.12.22
51.12.23,46.12.22
51.12.24,46.12.22
51.12.3,46.12.3
51.12.31,46.12.31
51.12.32,46.12.32
51.12.33,46.12.31
51.12.34,46.12.31
51.12.35,46.12.31
51.12.36,46.12.31
51.12.37,46.12.31
51.13,46.13
51.13.1,46.13.1
51.13.2,46.13.2
51.14,46.14
51.14.1,46.14.1
51.14.2,46.14.9
51.14.3,46.14.2
51.15,46.15
51.15.1,46.15.1
51.15.2,46.15.2
51.15.3,46.15.3
51.15.4,46.15.4
51.15.41,46.15.4
51.15.42,46.15.4
51.15.5,46.15.9
51.16,46.16
51.16.1,46.16.1
51.16.2,46.16.2
51.16.3,46.16.3
46.16.2,46.16.2
51.17,46.17
51.17.1,46.17.1
51.17.2,46.17.2
51.17.21,46.17.21
51.17.22,46.17.22
51.17.23,46.17.23
51.17.3,46.17.3
51.18,46.18
51.18.1,46.18.1
51.18.2,46.18.9
51.18.21,46.18.91
51.18.22,46.18.2
51.18.23,46.18.2
51.18.24,46.18.2
51.18.25,46.18.2
51.18.26,35.14
51.18.27,46.18.99
51.19,46.19
51.2,46.2
51.21,46.21
51.21.1,46.21.11
51.21.2,46.21.12
51.21.3,46.21.13
51.21.4,46.21.14
51.21.5,46.21.19
51.22,46.22
51.23,46.23
51.24,46.24
51.25,46.21.2
51.3,46.3
51.31,46.31
46.31.11,46.31.11
51.31.1,46.31.11
51.31.2,46.31.13
46.31.12,46.31.12
51.32,46.32
46.32.3,46.32.3
51.32.1,46.32.1
51.32.11,46.32.1
51.32.12,46.32.1
51.32.2,46.32.2
51.32.3,46.32.3
51.33,46.33
51.33.1,46.33.1
51.33.2,46.33.2
51.33.3,46.33.3
51.34,46.34
51.34.1,46.34.1
51.34.2,46.34.2
51.34.21,46.34.21
51.34.22,46.34.23
51.35,46.35
51.36,46.36
51.36.1,46.36.1
51.36.2,46.36.2
46.38.26,46.38.26
51.36.21,46.36.2
51.36.22,46.38.26
51.37,46.37
51.38,46.38
51.38.1,46.38.1
51.38.2,46.38.2
51.38.21,46.31.2
51.38.22,46.38.21
51.38.23,46.38.22
51.38.24,46.36.4
51.38.25,46.36.3
51.38.26,46.38.23
51.38.27,46.38.24
51.38.28,46.38.25
51.38.29,46.38.29
51.39,46.39
51.39.1,46.39.1
51.39.2,46.39.2
51.4,46.4
51.41,46.41
46.41.2,46.41.2
51.41.1,46.41.1
51.41.2,46.41.2
51.42,46.42
51.42.1,46.42.11
51.42.2,46.42.12
51.42.3,46.42.13
51.42.4,46.42.2
51.42.5,46.42.14
51.43,46.43
51.43.1,46.43.1
51.43.2,46.43.2
46.43.3,46.43.3
51.43.21,46.43.2
51.43.22,46.43.3
51.44,46.44
51.44.1,46.49.1
51.44.2,46.44.1
51.44.3,46.73.7
51.44.4,46.44.2
51.45,46.45
51.45.1,46.45.1
51.45.2,46.45.2
51.46,46.46
51.46.1,46.46.1
51.46.2,46.46.2
51.47,46.49
51.47.1,46.47
51.47.11,46.47.1
51.47.12,46.49.5
51.47.13,46.49.2
51.47.14,46.47.3
51.47.15,46.49.49
51.47.2,46.49.3
51.47.21,46.49.31
51.47.22,46.49.32
51.47.23,46.49.33
51.47.3,46.49.4
51.47.31,46.49.41
51.47.32,46.43.4
51.47.33,46.49.42
51.47.34,46.48.2
51.47.35,46.49.43
51.47.36,46.49.44
51.47.37,46.49.49
51.5,46.7
51.51,46.71
51.51.1,46.71.1
51.51.2,46.71.2
51.51.3,46.71
51.52,46.72
51.52.1,46.72.1
51.52.11,46.72.11
51.52.12,46.72.12
51.52.2,46.72.2
51.52.21,46.72.21
51.52.22,46.72.22
51.52.23,46.72.23
51.53,46.73
51.53.1,46.73.1
46.73.2,46.73.2
51.53.2,46.73.4
46.73.5,46.73.5
46.73.3,46.73.3
46.73.6,46.73.6
51.53.21,46.73.3
51.53.22,46.73.4
51.53.23,46.73.5
51.53.24,46.73.6
51.54,46.74
51.54.1,46.74.1
51.54.2,46.74.2
51.54.3,46.74.3
51.55,46.75
51.55.1,46.75.1
51.55.11,46.75.1
51.55.12,46.75.1
51.55.2,46.76.3
51.55.3,46.75.2
51.55.31,46.75.2
51.55.32,46.75.2
51.55.33,46.75.2
51.55.34,46.75.2
51.56,46.76
51.56.1,46.76.1
51.56.2,46.76.2
51.56.3,46.76.4
51.56.4,35.14
51.56.5,46.76
51.57,46.77
51.6,46.6
51.61,46.62
51.61.1,46.62.1
51.61.2,46.62.2
51.61.3,46.62.3
51.62,46.63
51.63,46.64
51.64,46.66
51.64.1,46.66
51.64.2,46.51
51.64.3,46.65
51.65,46.69
51.65.1,46.69.1
51.65.2,46.69.2
51.65.3,46.69.3
51.65.4,46.69.4
51.65.5,46.69.5
51.65.6,46.69.9
51.66,46.61
51.66.1,
51.66.2,46.61.1
51.7,46.9
51.70,46.90
52,47
52.1,47.1
52.11,47.11
52.11.1,47.11.1
52.11.2,47.11.2
52.12,47.19
52.2,47.2
52.21,47.21
52.22,47.22
52.22.1,47.22.1
52.22.2,47.22.2
52.22.3,47.22.3
52.23,47.23
52.23.1,47.23.1
52.23.2,47.23.2
52.24,47.24
52.24.1,47.24.1
52.24.2,47.24.2
52.24.21,47.24.21
52.24.22,47.24.22
52.24.3,47.24.3
52.25,47.25
52.25.1,47.25.1
52.25.11,47.25.11
52.25.12,47.25.12
52.25.2,47.25.2
52.26,47.26
52.27,47.29
52.27.1,47.29.1
52.27.11,47.29.11
52.27.12,47.29.12
52.27.2,47.29.2
52.27.21,47.29.21
52.27.22,47.29.22
52.27.3,47.29.3
52.27.31,47.29.31
52.27.32,47.29.32
52.27.33,47.21.2
52.27.34,47.29.33
52.27.35,47.29.34
52.27.36,47.29.35
52.27.39,47.29.39
52.3,47.73
47.74,47.74
47.75,47.75
52.31,47.73
52.32,47.74
52.33,47.75
52.33.1,47.75.1
52.33.2,47.75.2
52.4,47.5
52.41,47.51
52.41.1,47.51.1
52.41.2,47.51.2
52.42,47.71
52.42.1,47.71.1
52.42.2,47.71.2
52.42.3,47.71.3
52.42.4,47.71.4
52.42.5,47.71.5
52.42.6,47.71.6
52.42.7,47.71.7
52.42.8,47.71.8
52.43,47.72
52.43.1,47.72.1
52.43.2,47.72.2
52.44,47.59
52.44.1,47.59.1
52.44.2,47.59.2
52.44.3,47.59.3
52.44.4,47.53.2
52.44.5,47.59.4
52.44.6,47.59.9
52.45,47.54
47.43,47.43
52.45.1,47.54
52.45.2,47.43
52.45.3,47.43
52.45.4,47.63.1
47.63.2,47.63.2
52.45.5,47.59.5
52.46,47.52
52.46.1,47.52.1
52.46.2,47.52.2
52.46.3,47.52.3
52.46.4,47.52.4
52.46.5,47.52.5
52.46.6,47.52.6
52.46.7,47.52.7
52.46.71,47.52.71
52.46.72,47.52.72
52.46.73,47.52.73
52.47,47.61
47.62.1,47.62.1
47.62.2,47.62.2
52.47.1,47.61
52.47.2,47.62.1
52.47.3,47.62.2
52.48,47.7
52.48.1,47.59.1
47.41.4,47.41.4
47.41,47.41
47.78.1,47.78.1
52.48.11,47.59.1
52.48.12,47.41.4
52.48.13,47.41
52.48.14,47.78.1
52.48.15,47.78.2
52.48.2,47.77.1
47.77.2,47.77.2
47.64,47.64
47.65,47.65
52.48.21,47.77.1
52.48.22,47.77.2
52.48.23,47.64
47.64.1,47.64.1
47.64.2,47.64.2
47.64.3,47.64.3
47.64.4,47.64.4
47.64.5,47.64.5
52.48.24,47.65
52.48.3,47.78
52.48.31,47.53.3
47.78,47.78
52.48.32,47.76.1
52.48.33,47.76.2
52.48.34,47.78.3
47.78.4,47.78.4
52.48.35,47.78.6
52.48.36,47.78.8
52.48.37,47.78.5
52.48.38,47.78.9
52.48.39,47.78.9
52.5,47.79
52.50,47.79
52.50.1,47.79.1
52.50.2,47.79.2
52.50.3,47.79.3
52.6,47.9
52.61,47.99
52.61.1,47.91.1
52.61.2,47.91.2
47.91.3,47.91.3
47.91.4,47.91.4
52.62,47.8
52.63,47.9
52.7,95.2
52.71,95.23
52.72,95.22.1
52.72.1,95.21
52.72.2,95.22.1
52.73,95.25
52.74,95.29
55,55.1
56.1,56.1
55.1,55.1
55.11,55.10
56.10.1,56.10.1
55.12,55.10
55.2,55.2
55.21,55.20
55.22,55.30
55.23,55.90
55.23.1,55.90
55.23.2,55.90
55.23.3,55.90
55.23.4,55.90
55.23.5,55.90
55.3,56.1
55.30,56.10
56.10.1,56.10.1
56.10.3,56.10.3
55.4,56.3
55.40,56.30
55.5,56.29
55.51,56.29.1
56.29.2,56.29.2
56.29.3,56.29.3
56.29.4,56.29.4
55.52,56.29
60,49
60.1,49.1
60.10,49.10
49.20,49.20
60.10.1,49.10.1
49.10.2,49.10.2
49.20,49.20
60.10.11,49.10.1
49.10.11,49.10.11
49.10.12,49.10.12
49.20,49.20
60.10.12,49.20
60.10.2,60.10.2
60.2,49.3
60.21,49.31
60.21.1,49.31.2
60.21.11,49.31.21
60.21.12,49.31.21
60.21.13,49.39.11
60.21.14,49.39.12
60.21.2,49.31.2
60.21.21,49.31.23
60.21.22,49.31.22
60.21.23,49.31.24
60.21.3,49.31.25
60.22,49.32
60.23,49.3
60.24,49.4
60.24.1,49.41.1
60.24.2,49.41.2
60.24.3,49.41.3
60.3,49.5
60.30,49.50
60.30.1,49.50.1
60.30.11,49.50.11
60.30.12,49.50.12
60.30.2,49.50.2
60.30.21,49.50.21
60.30.22,49.50.22
60.30.3,49.50.3
61,50
61.1,50.10
50.20,50.20
61.10,50.10
50.20,50.20
61.10.1,50.10
61.10.2,50.20
61.10.3,50.20.3
50.20.42,50.20.42
61.2,50.30
50.40,50.40
61.20,50.30
50.40,50.40
61.20.1,50.30
61.20.2,50.40
61.20.3,50.30.2
61.20.3,50.40.2
61.20.4,61.20.4
62,51
62.1,51.10.1
51.21.1,51.21.1
62.10,51.10.1
51.21.1,51.21.1
62.10.1,51.10.1
62.10.2,51.21.1
62.2,51.2
62.20,51.21
62.20.1,51.10.2
62.20.2,51.21.2
62.20.3,51.21.3
62.3,51.22
62.30,51.22
62.30.1,51.22.3
62.30.11,51.22.3
62.30.12,51.22.3
62.30.2,51.22
63,52
63.1,52.24
52.10,52.10
63.11,52.24
63.11.1,52.24.1
63.11.2,52.24.2
63.12,52.10
63.12.1,52.10.1
63.12.2,52.10.2
63.12.21,52.10.21
63.12.22,52.10.22
63.12.23,52.10.23
63.12.3,52.10.3
63.12.4,52.10.4
63.2,52.2
63.21,52.21
63.21.1,52.21.1
63.21.2,52.21.2
63.21.21,52.21.21
63.21.22,52.21.22
63.21.23,52.21.23
63.21.24,52.21.24
63.22,52.22
63.22.1,52.22.1
63.22.2,52.22.2
63.23,52.23
63.23.1,52.23.11
63.23.2,52.23.12
63.23.3,52.23.19
63.23.4,52.23.19
63.23.5,52.23.19
63.23.6,52.23.2
63.3,79.1
63.30,79.11
63.30.1,79.11
63.30.2,79.90.3
63.30.3,79.90.1
63.30.4,79.90.2
63.4,52.29
63.40,52.29
64,53
64.1,53.1
53.20.3,53.20.3
64.11,53.10
64.11.1,53.10
64.11.11,53.10.2
64.11.12,53.10.4
64.11.13,53.10.9
64.11.14,53.10.9
64.11.2,53.20.1
64.11.3,53.20.2
64.11.31,53.20.21
64.11.32,53.20.22
64.12,53.20.3
64.2,61.1
64.20,61.10
64.20.1,61.10.1
64.20.11,61.10.1
64.20.12,61.10.4
64.20.2,60.20
60.10,60.10
64.20.21,60.20
64.20.22,60.10
64.20.3,61.10.9
65,64
65.1,64.1
65.11,64.11
65.11.1,64.11
65.11.11,64.11
65.11.12,64.11
65.11.9,64.11
65.12,64.19
65.2,64.9
65.21,64.91
65.22,64.92
65.22.1,64.92.1
65.22.2,64.92.2
65.22.3,64.92.3
65.22.4,64.92.4
65.22.5,64.92
65.22.6,64.92.6
65.23,64.99
65.23.1,64.99.1
65.23.2,64.99.2
65.23.3,64.99.3
65.23.4,64.99.4
65.23.5,64.20
66,65
66.0,65.1
66.01,65.11
66.02,65.30
66.02.1,65.30
66.02.2,65.12.9
66.03,65.12
66.03.1,65.12.1
66.03.2,65.12.2
66.03.3,65.12.3
66.03.4,65.12.4
66.03.5,65.12.5
66.03.9,65.12.9
67,66
67.1,66.1
67.11,66.11
67.11.1,66.11.2
67.11.11,66.11.1
67.11.12,66.11.3
67.11.13,66.11.4
67.11.19,66.11
67.12,66.12
67.12.1,66.12.1
67.12.2,66.12.2
67.12.3,66.11.5
67.12.4,66.12.3
67.13,66.19
67.13.1,66.19.1
67.13.2,66.12
67.13.3,66.19.3
67.13.4,66.19.4
67.13.5,66.19.5
67.13.51,66.19.5
67.2,66.2
67.20,66.2
67.20.1,66.22
67.20.2,66.21
67.20.3,66.29.1
67.20.4,66.29.2
67.20.9,66.29.9
70,68
70.1,68.1
70.11,68.10.1
70.11.1,68.10.11
70.11.2,68.10.12
70.12,68.10
70.12.1,68.10.21
70.12.2,68.10.22
70.12.3,68.10.23
70.2,68.2
70.20,68.20
70.20.1,68.20.1
70.20.2,68.20.2
70.3,68.3
70.31,68.31
70.31.1,68.31.1
68.31.2,68.31.2
68.31.3,68.31.3
68.31.4,68.31.4
70.31.11,68.31.11
68.31.21,68.31.21
68.31.31,68.31.31
68.31.41,68.31.41
70.31.12,68.31.12
68.31.22,68.31.22
68.31.32,68.31.32
68.31.42,68.31.42
70.31.2,68.31.5
70.31.21,68.31.51
70.31.22,68.31.52
70.32,68.32
70.32.1,68.32.1
70.32.2,68.32.2
70.32.3,68.32
71,77
71.1,77.11
71.10,77.11
71.2,77.3
71.21,77.39.11
71.21.1,77.39.1
71.21.2,77.39.12
71.22,77.34
71.23,77.35
71.3,77.39
71.31,77.31
71.32,77.32
71.33,77.33
71.33.1,77.33.1
71.33.2,77.33.2
71.34,77.39.2
71.34.1,77.39.21
71.34.2,77.39.22
71.34.3,77.39.23
71.34.4,77.39.24
71.34.5,77.39.25
71.34.6,77.39.26
71.34.7,77.39.27
71.34.9,77.39.29
71.4,77.2
71.40,77.29
71.40.1,77.29.1
71.40.2,77.22
71.40.3,77.29.2
71.40.4,77.21
71.40.5,77.29.3
71.40.6,77.29.9
71.40.9,77.29.9
72,62
63,63
72.1,62.02
72.10,62.02
72.2,62.0
72.20,62.01
62.02,62.02
72.3,63.1
72.30,63.11
72.4,63.11.1
72.40,63.11.1
72.5,95.1
72.50,95.11
72.6,62.09
72.60,62.09
73,72
73.1,72.1
73.10,72.19
73.2,72.2
73.20,72.20
74,69
70,70
71,71
73,73
74.1,69
74.11,69.10
74.12,69.20
74.12.1,69.20.2
74.12.2,69.20.1
74.13,73.20
74.13.1,73.20.1
74.13.2,73.20.2
74.14,70.22
74.15,70.10.1
70.10.2,70.10.2
74.15.1,70.10.1
74.15.2,70.10.2
74.2,71.1
71.12.6,71.12.6
71.12.5,71.12.5
74.20,71.1
71.12.6,71.12.6
71.12.5,71.12.5
74.20.1,71.11.1
74.20.11,71.11
74.20.12,71.12.1
74.20.13,71.12
74.20.14,71.12.12
74.20.15,71.12.13
74.20.2,71.12.3
74.20.3,71.12.4
74.20.31,71.12.41
74.20.32,71.12.42
74.20.33,71.12.43
74.20.34,71.12.44
74.20.35,71.12.45
74.20.36,71.12.46
74.20.4,71.12.6
74.20.41,71.12.61
74.20.42,71.12.62
74.20.44,71.12.63
74.20.45,71.12.64
74.20.5,71.12.5
74.20.51,71.12.51
74.20.52,71.12.52
74.20.53,71.12.57
74.20.54,71.12.54
74.20.55,71.12.53
74.20.56,71.12.55
74.3,71.2
74.30,71.20
74.30.1,71.20.1
74.30.2,71.20.2
74.30.3,71.20.9
74.30.4,71.20.3
74.30.5,71.20.4
74.30.6,71.20.6
74.30.7,71.20.5
74.30.8,71.20.8
74.30.9,71.20.9
74.4,73.1
74.40,73.11
74.5,78.1
74.50,78.10
74.50.1,78.20
74.50.2,78.30
74.6,80
74.60,80.10
80.20,80.20
80.30,80.30
74.60.1,74.90.31
74.60.2,80.30
74.7,81.22
81.29.9,81.29.9
74.70,81.22
81.29.9,81.29.9
74.70.1,81.22
74.70.2,81.29.9
74.70.3,81.29.1
74.8,74.20
82.92,82.92
74.30,74.30
74.81,74.20
74.82,82.92
74.83,74.30
82.19,82.19
74.84,82.99
75,84
75.1,84.1
75.11,84.11
75.11.1,84.11.1
75.11.11,84.11.11
75.11.12,84.11.12
75.11.13,84.11.13
75.11.2,84.11.2
75.11.21,84.11.21
75.11.22,84.11.22
75.11.23,84.11.23
75.11.3,84.11.3
75.11.31,84.11.31
84.11.32,84.11.32
84.11.33,84.11.33
84.11.34,84.11.34
75.11.32,84.11.35
75.11.4,84.11.4
75.11.5,84.11.5
75.11.6,84.11.6
75.11.7,84.11.7
75.11.8,84.11.8
75.12,84.12
75.13,84.13
75.14,84.11
75.2,84.2
75.21,84.21
75.22,84.22
75.23,84.23
75.23.1,84.23.1
75.23.11,84.23.11
75.23.12,84.23.12
75.23.13,84.23.13
75.23.14,84.23.14
75.23.15,84.23.15
75.23.16,84.23.16
75.23.17,84.23.17
75.23.18,84.23.18
75.23.19,84.23.19
75.23.2,84.23.2
75.23.21,84.23.21
75.23.22,84.23.22
75.23.3,84.23.3
75.23.31,84.23.31
75.23.32,84.23.32
75.23.33,84.23.33
75.23.4,84.23.4
75.23.5,84.23.5
75.23.51,84.23.51
75.23.52,84.23.52
75.24,84.24
75.24.1,84.24
75.24.2,84.24
75.25,84.25
75.25.1,84.25.1
75.25.2,84.25.9
75.3,84.3
75.30,84.30
80,85
80.1,85.11
85.12,85.12
80.10,85.11
85.12,85.12
80.10.1,85.11
80.10.2,85.12
80.10.3,85.41
80.2,85.13
85.14,85.14
85.21,85.21
80.21,85.13
85.14,85.14
80.21.1,85.13
80.21.2,85.14
80.22,85.21
80.22.1,85.21
80.22.2,85.21
80.22.21,85.21
80.22.22,85.42
80.22.23,85.41.9
80.3,85.22
80.30,85.22
80.30.1,85.22
80.30.2,85.23
80.30.3,85.23
80.30.4,85.41.9
80.4,85.42
80.41,85.42.1
80.41.1,85.42.1
80.41.2,85.42.2
80.42,85.42.9
85,86
87,87
88,88
85.1,86
85.11,86.10
85.11.1,86.10
85.11.2,86.90.4
85.12,86.21
85.13,86.23
85.14,86.90.9
85.14.1,86.90.9
85.14.2,86.90.9
85.14.3,86.90.9
85.14.4,86.90.9
85.14.5,86.90.1
85.14.6,86.90.2
85.2,75.0
85.20,75.00
85.3,87
88,88
85.31,87.90
85.32,88.10
90,37
90.0,37.0
90.00,37.00
90.00.1,37.00
90.00.2,38.1
38.2,38.2
90.00.3,81.29.9
91,94
91.1,94.1
91.11,94.11
91.12,94.12
91.2,94.2
91.20,94.20
91.3,94.9
91.31,94.91
91.32,94.92
91.33,94.99
92,93
92.1,59.1
92.11,59.11
92.12,59.13
92.13,59.14
92.2,60.10
60.20,60.20
92.20,60.10
60.20,60.20
92.3,93.2
92.31,90.0
92.31.1,90.03
92.31.2,90.03
92.31.21,90.01
92.31.22,90.01
92.32,90.04
92.33,93.29.9
92.34,93.29
92.34.1,90.01
92.34.2,93.29.2
92.34.3,93.29.9
92.4,63.91
92.40,63.91
92.5,91.0
92.51,91.01
92.52,91.02
91.03,91.03
92.53,91.04
92.6,93.1
92.61,93.11
92.62,93.19
92.7,93.2
92.71,92.1
92.72,93.29.9
93,96
93.0,96.0
93.01,96.01
93.02,96.02
93.03,96.03
93.04,96.04
93.05,96.09
95,97
95.0,97.0
95.00,97.00
99,99
99.0,99.0
99.00,99.00
